4629 1.211000 1320	4450 1.274000 1320	4761 1.279000 1320	495 1.197000 1320	1529 1.345000 1320	349 1.234000 1320
4442 1.214000 1330	4195 1.284000 1330	4262 1.256000 1330	231 1.118000 1330	1429 1.210000 1330	329 1.287000 1330
4653 1.195000 1340	4271 1.281000 1340	4187 1.287000 1340	221 1.188000 1340	1280 1.290000 1340	313 1.225000 1340
4661 1.188000 1350	4269 1.256000 1350	4779 1.287000 1350	313 1.197000 1350	1668 1.212000 1350	297 1.213000 1350
5180 1.200000 1360	4184 1.273000 1360	3851 1.247000 1360	571 1.191000 1360	1796 1.201000 1360	315 1.250000 1360
4894 1.224000 1370	4504 1.274000 1370	4453 1.293000 1370	239 1.212000 1370	1478 1.213000 1370	287 1.316000 1370
5306 1.195000 1380	4280 1.270000 1380	4160 1.318000 1380	523 1.217000 1380	1572 1.189000 1380	325 1.186000 1380
5660 1.185000 1390	4535 1.257000 1390	4374 1.279000 1390	345 1.257000 1390	1293 1.179000 1390	262 1.154000 1390
5504 1.187000 1400	4733 1.282000 1400	4624 1.298000 1400	727 1.324000 1400	1522 1.193000 1400	672 1.250000 1400
5749 1.190000 1410	4821 1.283000 1410	4891 1.275000 1410	360 1.178000 1410	1530 1.171000 1410	356 1.230000 1410
5247 1.229000 1420	4885 1.282000 1420	4613 1.327000 1420	468 1.186000 1420	1661 1.194000 1420	244 1.302000 1420
5296 1.196000 1430	5065 1.266000 1430	4696 1.304000 1430	335 1.160000 1430	1579 1.221000 1430	634 1.276000 1430
4979 1.227000 1440	5194 1.277000 1440	4777 1.283000 1440	316 1.170000 1440	1487 1.196000 1440	402 1.246000 1440
5188 1.202000 1450	5191 1.286000 1450	5062 1.292000 1450	760 1.176000 1450	1222 1.223000 1450	382 1.276000 1450
5366 1.175000 1460	5164 1.280000 1460	4947 1.324000 1460	365 1.183000 1460	1676 1.190000 1460	582 1.317000 1460
4885 1.231000 1470	5175 1.274000 1470	4961 1.312000 1470	644 1.231000 1470	1449 1.164000 1470	375 1.322000 1470
4612 1.180000 1480	5293 1.248000 1480	5272 1.316000 1480	623 1.188000 1480	1341 1.186000 1480	350 1.255000 1480
4807 1.179000 1490	5149 1.265000 1490	5248 1.299000 1490	279 1.186000 1490	1618 1.242000 1490	551 1.308000 1490
5002 1.176000 1500	5040 1.262000 1500	5089 1.330000 1500	777 1.214000 1500	1559 1.211000 1500	389 1.299000 1500
4627 1.223000 1510	4855 1.266000 1510	4700 1.322000 1510	579 1.201000 1510	1319 1.315000 1510	610 1.324000 1510
4470 1.230000 1520	5057 1.281000 1520	4843 1.325000 1520	601 1.159000 1520	1249 1.207000 1520	597 1.310000 1520
4060 1.217000 1530	4366 1.259000 1530	5125 1.288000 1530	597 1.173000 1530	1516 1.295000 1530	489 1.349000 1530
4123 1.335000 1540	4423 1.259000 1540	4796 1.315000 1540	736 1.174000 1540	1441 1.194000 1540	475 1.363000 1540
4606 1.190000 1550	4605 1.256000 1550	4636 1.283000 1550	429 1.198000 1550	1430 1.241000 1550	419 1.338000 1550
4721 1.180000 1560	4470 1.284000 1560	4431 1.291000 1560	439 1.188000 1560	1510 1.180000 1560	584 1.277000 1560
